"Day ","Items ","Note ","Amount "
"88","Retail","Revenue - Retail Sales Ho Chi Minh City - Red Wine","62595"
"88","Retail","Revenue - Retail Sales Ho Chi Minh City - White Wine","11410"
"88","Retail","Revenue - Retail Sales Ho Chi Minh City - Sparkling Wine","163180"
"88","Retail","Revenue - Retail Sales Manila - White Wine","56290"
"88","Retail","Revenue - Retail Sales Manila - Sparkling Wine","15720"
"88","Retail","Revenue - Retail Sales Bangkok - Red Wine","39000"
"88","Retail","Revenue - Retail Sales Bangkok - White Wine","8976"
"88","Retail","Revenue - Retail Sales Bangkok - Sparkling Wine","76320"
"88","Retail","Revenue - Retail Sales Jakarta - Red Wine","45870"
"88","Retail","Revenue - Retail Sales Jakarta - White Wine","95480"
"88","Retail","Revenue - Retail Sales Jakarta - Sparkling Wine","14740"
"88","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","-2263"
"88","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","-1560"
"88","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Butterworth","-72"
"88","Rental Expense","Cash Payment - Rental - Butterworth","-2000"
"88","Rental Expense","Cash Payment - Rental - Manila","-1860"
"88","Rental Expense","Cash Payment - Rental - Bangkok","-1320"
"88","Rental Expense","Cash Payment - Rental - Jakarta","-1800"
"87","Human Resource Expense","Counselled","-2000"
"87","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14974 ","-168000"
"87","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14974 ","-75000"
"87","Human Resource Expense","Staff Dismiss","-27000"
"87","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 15083 ","-54288"
"87","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"87","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","-40000"
"87","Marketing Expense","Cash Payment - Marketing - Manila","-40000"
"87","Marketing Expense","Cash Payment - Marketing - Bangkok","-40000"
"87","Marketing Expense","Cash Payment - Marketing - Jakarta","-40000"
"87","Salary Expense","Cash Payment - Salary Expense","-1916"
"87","Salary Expense","Cash Payment - Salary Expense","-1862"
"87","Salary Expense","Cash Payment - Salary Expense","-2039"
"87","Salary Expense","Cash Payment - Salary Expense","-1800"
"87","Salary Expense","Cash Payment - Salary Expense","-1823"
"87","Salary Expense","Cash Payment - Salary Expense","-22684"
"87","Shipping Expense","Cash Payment - Shipping Expense - B2B SO : 13657","-272201"
"87","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 361","-15000"
"87","Retail","Revenue - Retail Sales Ho Chi Minh City - Red Wine","58500"
"87","Retail","Revenue - Retail Sales Ho Chi Minh City - White Wine","10990"
"87","Retail","Revenue - Retail Sales Ho Chi Minh City - Sparkling Wine","178350"
"87","Retail","Revenue - Retail Sales Manila - Red Wine","18900"
"87","Retail","Revenue - Retail Sales Manila - White Wine","49920"
"87","Retail","Revenue - Retail Sales Manila - Sparkling Wine","14880"
"87","Retail","Revenue - Retail Sales Bangkok - Red Wine","36000"
"87","Retail","Revenue - Retail Sales Bangkok - White Wine","9064"
"87","Retail","Revenue - Retail Sales Jakarta - Red Wine","50270"
"87","Retail","Revenue - Retail Sales Jakarta - White Wine","100520"
"87","Retail","Revenue - Retail Sales Jakarta - Sparkling Wine","14740"
"87","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","-1560"
"87","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Butterworth","-72"
"87","Rental Expense","Cash Payment - Rental - Butterworth","-2000"
"87","Rental Expense","Cash Payment - Rental - Manila","-1860"
"87","Rental Expense","Cash Payment - Rental - Bangkok","-1320"
"87","Rental Expense","Cash Payment - Rental - Jakarta","-1800"
"86","Human Resource Expense","Counselled","-2000"
"86","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14890 ","-50220"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14900 ","-168000"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14900 ","-180000"
"86","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14911 ","-30132"
"86","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14911 ","-46332"
"86","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14911 ","-243000"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14913 ","-884800"
"86","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"86","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","-40000"
"86","Marketing Expense","Cash Payment - Marketing - Manila","-40000"
"86","Marketing Expense","Cash Payment - Marketing - Bangkok","-40000"
"86","Marketing Expense","Cash Payment - Marketing - Jakarta","-40000"
"86","Salary Expense","Cash Payment - Salary Expense","-1916"
"86","Salary Expense","Cash Payment - Salary Expense","-1843"
"86","Salary Expense","Cash Payment - Salary Expense","-2016"
"86","Salary Expense","Cash Payment - Salary Expense","-1778"
"86","Salary Expense","Cash Payment - Salary Expense","-1823"
"86","Salary Expense","Cash Payment - Salary Expense","-23049"
"86","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 365","-15000"
"86","Retail","Revenue - Retail Sales Ho Chi Minh City - White Wine","10010"
"86","Retail","Revenue - Retail Sales Ho Chi Minh City - Sparkling Wine","166460"
"86","Retail","Revenue - Retail Sales Manila - Red Wine","138900"
"86","Retail","Revenue - Retail Sales Manila - White Wine","48750"
"86","Retail","Revenue - Retail Sales Manila - Sparkling Wine","14040"
"86","Retail","Revenue - Retail Sales Bangkok - Red Wine","38640"
"86","Retail","Revenue - Retail Sales Bangkok - White Wine","9328"
"86","Retail","Revenue - Retail Sales Bangkok - Sparkling Wine","17520"
"86","Retail","Revenue - Retail Sales Jakarta - Red Wine","46530"
"86","Retail","Revenue - Retail Sales Jakarta - White Wine","96600"
"86","Retail","Revenue - Retail Sales Jakarta - Sparkling Wine","15290"
"86","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","-1560"
"86","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Butterworth","-794"
"86","Rental Expense","Cash Payment - Rental - Butterworth","-2000"
"86","Rental Expense","Cash Payment - Rental - Manila","-1860"
"86","Rental Expense","Cash Payment - Rental - Bangkok","-1320"
"86","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","-646"
"86","Rental Expense","Cash Payment - Rental - Jakarta","-1800"
"85","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14708 ","-29160"
"85","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14708 ","-23652"
"85","Human Resource Expense","Counselled","-2000"
"85","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"85","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","-40000"
"85","Marketing Expense","Cash Payment - Marketing - Manila","-40000"
"85","Marketing Expense","Cash Payment - Marketing - Bangkok","-40000"
"85","Marketing Expense","Cash Payment - Marketing - Jakarta","-40000"
"85","Salary Expense","Cash Payment - Salary Expense","-1916"
"85","Salary Expense","Cash Payment - Salary Expense","-1843"
"85","Salary Expense","Cash Payment - Salary Expense","-2016"
"85","Salary Expense","Cash Payment - Salary Expense","-1778"
"85","Salary Expense","Cash Payment - Salary Expense","-1823"
"85","Salary Expense","Cash Payment - Salary Expense","-23049"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14476","-1140"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 378","-15000"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 382","-15000"
"85","Retail","Revenue - Retail Sales Ho Chi Minh City - Red Wine","143260"
"85","Retail","Revenue - Retail Sales Ho Chi Minh City - White Wine","64610"
"85","Retail","Revenue - Retail Sales Ho Chi Minh City - Sparkling Wine","966985"
"85","Retail","Revenue - Retail Sales Manila - Red Wine","669800"
"85","Retail","Revenue - Retail Sales Manila - White Wine","294125"
"85","Retail","Revenue - Retail Sales Manila - Sparkling Wine","86400"
"85","Retail","Revenue - Retail Sales Bangkok - Red Wine","210300"
"85","Retail","Revenue - Retail Sales Bangkok - White Wine","52536"
"85","Retail","Revenue - Retail Sales Bangkok - Sparkling Wine","438480"
"85","Retail","Revenue - Retail Sales Jakarta - Red Wine","206030"
"85","Retail","Revenue - Retail Sales Jakarta - Sparkling Wine","91520"
"85","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","-1560"
"85","Rental Expense","Cash Payment - Rental - Butterworth","-2000"
"85","Rental Expense","Cash Payment - Rental - Manila","-1860"
"85","Rental Expense","Cash Payment - Rental - Bangkok","-1320"
"85","Rental Expense","Cash Payment - Rental - Jakarta","-1800"
"84","Human Resource Expense","Attended Training","-15000"
"84","Human Resource Expense","Attended Training","-15000"
"84","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14552 ","-58644"
"84","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"84","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","-40000"
"84","Marketing Expense","Cash Payment - Marketing - Manila","-40000"
"84","Marketing Expense","Cash Payment - Marketing - Bangkok","-40000"
"84","Marketing Expense","Cash Payment - Marketing - Jakarta","-40000"
"84","Salary Expense","Cash Payment - Salary Expense","-1916"
"84","Salary Expense","Cash Payment - Salary Expense","-1823"
"84","Salary Expense","Cash Payment - Salary Expense","-2016"
"84","Salary Expense","Cash Payment - Salary Expense","-1778"
"84","Salary Expense","Cash Payment - Salary Expense","-1823"
"84","Salary Expense","Cash Payment - Salary Expense","-23049"
"84","Retail","Revenue - Retail Sales Ho Chi Minh City - Red Wine","356655"
"84","Retail","Revenue - Retail Sales Ho Chi Minh City - White Wine","58940"
"84","Retail","Revenue - Retail Sales Ho Chi Minh City - Sparkling Wine","1025000"
"84","Retail","Revenue - Retail Sales Manila - Red Wine","669800"
"84","Retail","Revenue - Retail Sales Manila - White Wine","285870"
"84","Retail","Revenue - Retail Sales Manila - Sparkling Wine","93480"
"84","Retail","Revenue - Retail Sales Bangkok - Red Wine","237420"
"84","Retail","Revenue - Retail Sales Bangkok - White Wine","56430"
"84","Retail","Revenue - Retail Sales Bangkok - Sparkling Wine","442640"
"84","Retail","Revenue - Retail Sales Jakarta - Red Wine","294470"
"84","Retail","Revenue - Retail Sales Jakarta - White Wine","375690"
"84","Retail","Revenue - Retail Sales Jakarta - Sparkling Wine","87230"
"84","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","-1560"
"84","Rental Expense","Cash Payment - Rental - Butterworth","-2000"
"84","Rental Expense","Cash Payment - Rental - Manila","-1860"
"84","Rental Expense","Cash Payment - Rental - Bangkok","-1320"
"84","Rental Expense","Cash Payment - Rental - Jakarta","-1800"
"83","Human Resource Expense","Counselled","-2000"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14348 ","-112000"
"83","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14357 ","-21060"
"83","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14357 ","-70470"
"83","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14357 ","-174960"
"83","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14357 ","-200232"
"83","Human Resource Expense","Counselled","-2000"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14368 ","-168000"
"83","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"83","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","-40000"
"83","Marketing Expense","Cash Payment - Marketing - Manila","-40000"
"83","Marketing Expense","Cash Payment - Marketing - Bangkok","-40000"
"83","Marketing Expense","Cash Payment - Marketing - Jakarta","-40000"
"83","Salary Expense","Cash Payment - Salary Expense","-1916"
"83","Salary Expense","Cash Payment - Salary Expense","-1823"
"83","Salary Expense","Cash Payment - Salary Expense","-2016"
"83","Salary Expense","Cash Payment - Salary Expense","-1778"
"83","Salary Expense","Cash Payment - Salary Expense","-1823"
"83","Salary Expense","Cash Payment - Salary Expense","-22893"
"83","Shipping Expense","Cash Payment - Shipping Expense - B2B SO : 13840","-36770"
"83","Retail","Revenue - Retail Sales Ho Chi Minh City - Red Wine","53950"
"83","Retail","Revenue - Retail Sales Ho Chi Minh City - White Wine","10710"
"83","Retail","Revenue - Retail Sales Ho Chi Minh City - Sparkling Wine","161600"
"83","Retail","Revenue - Retail Sales Manila - Red Wine","109980"
"83","Retail","Revenue - Retail Sales Manila - White Wine","53560"
"83","Retail","Revenue - Retail Sales Manila - Sparkling Wine","16080"
"83","Retail","Revenue - Retail Sales Bangkok - Red Wine","30960"
"83","Retail","Revenue - Retail Sales Bangkok - White Wine","7155"
"83","Retail","Revenue - Retail Sales Bangkok - Sparkling Wine","61360"
"83","Retail","Revenue - Retail Sales Jakarta - Red Wine","36190"
"83","Retail","Revenue - Retail Sales Jakarta - White Wine","77350"
"83","Retail","Revenue - Retail Sales Jakarta - Sparkling Wine","11605"
"83","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","-434"
"83","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","-1560"
"83","Rental Expense","Cash Payment - Rental - Butterworth","-2000"
"83","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Manila","-560"
"83","Rental Expense","Cash Payment - Rental - Manila","-1860"
"83","Rental Expense","Cash Payment - Rental - Bangkok","-1320"
"83","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","-204"
"83","Rental Expense","Cash Payment - Rental - Jakarta","-1800"
"82","Human Resource Expense","Cash Payment - Staff Recruiting","-15000"
"82","Human Resource Expense","Attended Training","-15000"
"82","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"82","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","-25000"
"82","Marketing Expense","Cash Payment - Marketing - Manila","-25000"
"82","Marketing Expense","Cash Payment - Marketing - Bangkok","-25000"
"82","Marketing Expense","Cash Payment - Marketing - Jakarta","-26000"
"82","Salary Expense","Cash Payment - Salary Expense","-1898"
"82","Salary Expense","Cash Payment - Salary Expense","-1823"
"82","Salary Expense","Cash Payment - Salary Expense","-2016"
"82","Salary Expense","Cash Payment - Salary Expense","-1778"
"82","Salary Expense","Cash Payment - Salary Expense","-1823"
"82","Salary Expense","Cash Payment - Salary Expense","-22893"
"82","Shipping Expense","Cash Payment - Shipping Expense - B2B SO : 13493","-65998"
"82","Retail","Revenue - Retail Sales Ho Chi Minh City - Red Wine","62010"
"82","Retail","Revenue - Retail Sales Ho Chi Minh City - White Wine","10990"
"82","Retail","Revenue - Retail Sales Ho Chi Minh City - Sparkling Wine","179600"
"82","Retail","Revenue - Retail Sales Manila - Red Wine","110970"
"82","Retail","Revenue - Retail Sales Manila - White Wine","54600"
"82","Retail","Revenue - Retail Sales Manila - Sparkling Wine","15720"
"82","Retail","Revenue - Retail Sales Bangkok - Red Wine","30540"
"82","Retail","Revenue - Retail Sales Bangkok - White Wine","6345"
"82","Retail","Revenue - Retail Sales Jakarta - Red Wine","34265"
"82","Retail","Revenue - Retail Sales Jakarta - White Wine","73430"
"82","Retail","Revenue - Retail Sales Jakarta - Sparkling Wine","11330"
"82","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","-1560"
"82","Rental Expense","Cash Payment - Rental - Butterworth","-2000"
"82","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Manila","-805"
"82","Rental Expense","Cash Payment - Rental - Manila","-1860"
"82","Rental Expense","Cash Payment - Rental - Bangkok","-1320"
"82","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","-408"
"82","Rental Expense","Cash Payment - Rental - Jakarta","-1800"
"81","Wholesales (B2B)","Revenue - B2B SO ID: 11252","2038200"
"81","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 11252","-72000"
"81","Human Resource Expense","Cash Payment - Staff Recruiting","-15000"
"81","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14001 ","-90048"
"81","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14001 ","-158256"
"81","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14001 ","-172800"
"81","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14001 ","-672000"
"81","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14001 ","-217728"
"81","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"81","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","-25000"
"81","Marketing Expense","Cash Payment - Marketing - Manila","-25000"
"81","Marketing Expense","Cash Payment - Marketing - Bangkok","-25000"
"81","Marketing Expense","Cash Payment - Marketing - Jakarta","-26000"
"81","Salary Expense","Cash Payment - Salary Expense","-1823"
"81","Salary Expense","Cash Payment - Salary Expense","-1773"
"81","Salary Expense","Cash Payment - Salary Expense","-1941"
"81","Salary Expense","Cash Payment - Salary Expense","-1428"
"81","Salary Expense","Cash Payment - Salary Expense","-1754"
"81","Salary Expense","Cash Payment - Salary Expense","-22893"
"81","Retail","Revenue - Retail Sales Ho Chi Minh City - Red Wine","45565"
"81","Retail","Revenue - Retail Sales Ho Chi Minh City - White Wine","7630"
"81","Retail","Revenue - Retail Sales Ho Chi Minh City - Sparkling Wine","135600"
"81","Retail","Revenue - Retail Sales Manila - Red Wine","108810"
"81","Retail","Revenue - Retail Sales Manila - White Wine","55770"
"81","Retail","Revenue - Retail Sales Manila - Sparkling Wine","13440"
"81","Retail","Revenue - Retail Sales Bangkok - Red Wine","28740"
"81","Retail","Revenue - Retail Sales Bangkok - White Wine","7155"
"81","Retail","Revenue - Retail Sales Bangkok - Sparkling Wine","62640"
"81","Retail","Revenue - Retail Sales Jakarta - Red Wine","37840"
"81","Retail","Revenue - Retail Sales Jakarta - White Wine","72870"
"81","Retail","Revenue - Retail Sales Jakarta - Sparkling Wine","9790"
"81","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","-31"
"81","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","-1560"
"81","Rental Expense","Cash Payment - Rental - Butterworth","-2000"
"81","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Manila","-1085"
"81","Rental Expense","Cash Payment - Rental - Manila","-1860"
"81","Rental Expense","Cash Payment - Rental - Bangkok","-1320"
"81","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","-646"
"81","Rental Expense","Cash Payment - Rental - Jakarta","-1800"
"80","Wholesales (B2B)","Revenue - B2B SO ID: 12828","2807130"
"80","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13831 ","-168000"
"80","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13831 ","-120000"
"80","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"80","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","-25000"
"80","Marketing Expense","Cash Payment - Marketing - Manila","-25000"
"80","Marketing Expense","Cash Payment - Marketing - Bangkok","-25000"
"80","Marketing Expense","Cash Payment - Marketing - Jakarta","-26000"
"80","Salary Expense","Cash Payment - Salary Expense","-1823"
"80","Salary Expense","Cash Payment - Salary Expense","-1773"
"80","Salary Expense","Cash Payment - Salary Expense","-1941"
"80","Salary Expense","Cash Payment - Salary Expense","-1428"
"80","Salary Expense","Cash Payment - Salary Expense","-1404"
"80","Salary Expense","Cash Payment - Salary Expense","-22093"
"80","Retail","Revenue - Retail Sales Ho Chi Minh City - Red Wine","37070"
"80","Retail","Revenue - Retail Sales Ho Chi Minh City - White Wine","8855"
"80","Retail","Revenue - Retail Sales Ho Chi Minh City - Sparkling Wine","133560"
"80","Retail","Revenue - Retail Sales Manila - Red Wine","107950"
"80","Retail","Revenue - Retail Sales Manila - White Wine","54730"
"80","Retail","Revenue - Retail Sales Manila - Sparkling Wine","14040"
"80","Retail","Revenue - Retail Sales Bangkok - Red Wine","25380"
"80","Retail","Revenue - Retail Sales Bangkok - White Wine","6435"
"80","Retail","Revenue - Retail Sales Bangkok - Sparkling Wine","52360"
"80","Retail","Revenue - Retail Sales Jakarta - Red Wine","32175"
"80","Retail","Revenue - Retail Sales Jakarta - White Wine","71190"
"80","Retail","Revenue - Retail Sales Jakarta - Sparkling Wine","9625"
"80","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","-248"
"80","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","-1560"
"80","Rental Expense","Cash Payment - Rental - Butterworth","-2000"
"80","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Manila","-1365"
"80","Rental Expense","Cash Payment - Rental - Manila","-1860"
"80","Rental Expense","Cash Payment - Rental - Bangkok","-1320"
"80","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","-850"
"80","Rental Expense","Cash Payment - Rental - Jakarta","-1800"
"79","Wholesales (B2B)","Revenue - B2B SO ID: 12646","1110200"
"79","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"79","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","-25000"
"79","Marketing Expense","Cash Payment - Marketing - Manila","-25000"
"79","Marketing Expense","Cash Payment - Marketing - Bangkok","-25000"
"79","Marketing Expense","Cash Payment - Marketing - Jakarta","-26000"
"79","Salary Expense","Cash Payment - Salary Expense","-1823"
"79","Salary Expense","Cash Payment - Salary Expense","-1773"
"79","Salary Expense","Cash Payment - Salary Expense","-1941"
"79","Salary Expense","Cash Payment - Salary Expense","-1428"
"79","Salary Expense","Cash Payment - Salary Expense","-1404"
"79","Salary Expense","Cash Payment - Salary Expense","-22017"
"79","Retail","Revenue - Retail Sales Ho Chi Minh City - Red Wine","37070"
"79","Retail","Revenue - Retail Sales Ho Chi Minh City - White Wine","8505"
"79","Retail","Revenue - Retail Sales Ho Chi Minh City - Sparkling Wine","131180"
"79","Retail","Revenue - Retail Sales Manila - Red Wine","104805"
"79","Retail","Revenue - Retail Sales Manila - White Wine","50050"
"79","Retail","Revenue - Retail Sales Manila - Sparkling Wine","15120"
"79","Retail","Revenue - Retail Sales Bangkok - Red Wine","29880"
"79","Retail","Revenue - Retail Sales Bangkok - White Wine","7065"
"79","Retail","Revenue - Retail Sales Bangkok - Sparkling Wine","58058"
"79","Retail","Revenue - Retail Sales Jakarta - Red Wine","31790"
