"Day ","Items ","Note ","Amount "
"82","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"82","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","408"
"82","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"82","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"81","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"81","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"81","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","25000"
"81","Marketing Expense","Cash Payment - Marketing - Manila","25000"
"81","Marketing Expense","Cash Payment - Marketing - Bangkok","25000"
"81","Marketing Expense","Cash Payment - Marketing - Jakarta","26000"
"81","Salary Expense","Cash Payment - Salary Expense","1823"
"81","Salary Expense","Cash Payment - Salary Expense","1773"
"81","Salary Expense","Cash Payment - Salary Expense","1941"
"81","Salary Expense","Cash Payment - Salary Expense","1428"
"81","Salary Expense","Cash Payment - Salary Expense","1754"
"81","Salary Expense","Cash Payment - Salary Expense","22893"
"81","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","31"
"81","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"81","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"81","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Manila","1085"
"81","Rental Expense","Cash Payment - Rental - Manila","1860"
"81","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"81","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","646"
"81","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"81","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"80","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"80","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","25000"
"80","Marketing Expense","Cash Payment - Marketing - Manila","25000"
"80","Marketing Expense","Cash Payment - Marketing - Bangkok","25000"
"80","Marketing Expense","Cash Payment - Marketing - Jakarta","26000"
"80","Salary Expense","Cash Payment - Salary Expense","1823"
"80","Salary Expense","Cash Payment - Salary Expense","1773"
"80","Salary Expense","Cash Payment - Salary Expense","1941"
"80","Salary Expense","Cash Payment - Salary Expense","1428"
"80","Salary Expense","Cash Payment - Salary Expense","1404"
"80","Salary Expense","Cash Payment - Salary Expense","22093"
"80","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","248"
"80","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"80","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"80","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Manila","1365"
"80","Rental Expense","Cash Payment - Rental - Manila","1860"
"80","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"80","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","850"
"80","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"80","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"79","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"79","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","25000"
"79","Marketing Expense","Cash Payment - Marketing - Manila","25000"
"79","Marketing Expense","Cash Payment - Marketing - Bangkok","25000"
"79","Marketing Expense","Cash Payment - Marketing - Jakarta","26000"
"79","Salary Expense","Cash Payment - Salary Expense","1823"
"79","Salary Expense","Cash Payment - Salary Expense","1773"
"79","Salary Expense","Cash Payment - Salary Expense","1941"
"79","Salary Expense","Cash Payment - Salary Expense","1428"
"79","Salary Expense","Cash Payment - Salary Expense","1404"
"79","Salary Expense","Cash Payment - Salary Expense","22017"
"79","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","403"
"79","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"79","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"79","Rental Expense","Cash Payment - Rental - Manila","1860"
"79","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"79","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","1054"
"79","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"79","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"78","Human Resource Expense","Counselled","2000"
"78","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"78","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","25000"
"78","Marketing Expense","Cash Payment - Marketing - Manila","25000"
"78","Marketing Expense","Cash Payment - Marketing - Bangkok","25000"
"78","Marketing Expense","Cash Payment - Marketing - Jakarta","26000"
"78","Salary Expense","Cash Payment - Salary Expense","1823"
"78","Salary Expense","Cash Payment - Salary Expense","1773"
"78","Salary Expense","Cash Payment - Salary Expense","1941"
"78","Salary Expense","Cash Payment - Salary Expense","1382"
"78","Salary Expense","Cash Payment - Salary Expense","1404"
"78","Salary Expense","Cash Payment - Salary Expense","21963"
"78","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 361","15000"
"78","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","589"
"78","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"78","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"78","Rental Expense","Cash Payment - Rental - Manila","1860"
"78","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"78","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","1258"
"78","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"78","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"77","Human Resource Expense","Counselled","2000"
"77","Human Resource Expense","Counselled","2000"
"77","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"77","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","25000"
"77","Marketing Expense","Cash Payment - Marketing - Manila","25000"
"77","Marketing Expense","Cash Payment - Marketing - Bangkok","25000"
"77","Marketing Expense","Cash Payment - Marketing - Jakarta","26000"
"77","Salary Expense","Cash Payment - Salary Expense","1823"
"77","Salary Expense","Cash Payment - Salary Expense","1773"
"77","Salary Expense","Cash Payment - Salary Expense","1941"
"77","Salary Expense","Cash Payment - Salary Expense","1382"
"77","Salary Expense","Cash Payment - Salary Expense","1404"
"77","Salary Expense","Cash Payment - Salary Expense","21963"
"77","Shipping Expense","Cash Payment - Shipping Expense - B2B SO : 12828","74427"
"77","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 365","15000"
"77","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","775"
"77","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"77","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"77","Rental Expense","Cash Payment - Rental - Manila","1860"
"77","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"77","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","1462"
"77","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"77","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"76","Human Resource Expense","Staff Dismiss","63000"
"76","Human Resource Expense","Counselled","2000"
"76","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"76","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","25000"
"76","Marketing Expense","Cash Payment - Marketing - Manila","25000"
"76","Marketing Expense","Cash Payment - Marketing - Bangkok","25000"
"76","Marketing Expense","Cash Payment - Marketing - Jakarta","26000"
"76","Salary Expense","Cash Payment - Salary Expense","1823"
"76","Salary Expense","Cash Payment - Salary Expense","1755"
"76","Salary Expense","Cash Payment - Salary Expense","1919"
"76","Salary Expense","Cash Payment - Salary Expense","1361"
"76","Salary Expense","Cash Payment - Salary Expense","1404"
"76","Salary Expense","Cash Payment - Salary Expense","21943"
"76","Shipping Expense","Cash Payment - Shipping Expense - B2B SO : 12646","37785"
"76","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 378","15000"
"76","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 382","15000"
"76","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"76","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Butterworth","84"
"76","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"76","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Manila","105"
"76","Rental Expense","Cash Payment - Rental - Manila","1860"
"76","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"76","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","1700"
"76","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"76","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"75","Human Resource Expense","Counselled","2000"
"75","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"75","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","40000"
"75","Marketing Expense","Cash Payment - Marketing - Manila","40000"
"75","Marketing Expense","Cash Payment - Marketing - Bangkok","40000"
"75","Marketing Expense","Cash Payment - Marketing - Jakarta","40000"
"75","Salary Expense","Cash Payment - Salary Expense","1823"
"75","Salary Expense","Cash Payment - Salary Expense","1755"
"75","Salary Expense","Cash Payment - Salary Expense","1919"
"75","Salary Expense","Cash Payment - Salary Expense","1361"
"75","Salary Expense","Cash Payment - Salary Expense","1872"
"75","Salary Expense","Cash Payment - Salary Expense","21943"
"75","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","2573"
"75","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"75","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"75","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Manila","385"
"75","Rental Expense","Cash Payment - Rental - Manila","1860"
"75","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"75","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Jakarta","1904"
"75","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"75","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"74","Human Resource Expense","Attended Training","15000"
"74","Human Resource Expense","Attended Training","15000"
"74","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"74","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","40000"
"74","Marketing Expense","Cash Payment - Marketing - Manila","40000"
"74","Marketing Expense","Cash Payment - Marketing - Bangkok","40000"
"74","Marketing Expense","Cash Payment - Marketing - Jakarta","40000"
"74","Salary Expense","Cash Payment - Salary Expense","1823"
"74","Salary Expense","Cash Payment - Salary Expense","1736"
"74","Salary Expense","Cash Payment - Salary Expense","1919"
"74","Salary Expense","Cash Payment - Salary Expense","1361"
"74","Salary Expense","Cash Payment - Salary Expense","1872"
"74","Salary Expense","Cash Payment - Salary Expense","21943"
"74","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","2759"
"74","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"74","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"74","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Manila","595"
"74","Rental Expense","Cash Payment - Rental - Manila","1860"
"74","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"74","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"74","Depreciation Expense","Non-Cash Expense - Depreciation","13334"
"73","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"73","Human Resource Expense","Staff Dismiss","63000"
"73","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"73","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","40000"
"73","Marketing Expense","Cash Payment - Marketing - Manila","40000"
"73","Marketing Expense","Cash Payment - Marketing - Bangkok","40000"
"73","Marketing Expense","Cash Payment - Marketing - Jakarta","40000"
"73","Salary Expense","Cash Payment - Salary Expense","1823"
"73","Salary Expense","Cash Payment - Salary Expense","1736"
"73","Salary Expense","Cash Payment - Salary Expense","1919"
"73","Salary Expense","Cash Payment - Salary Expense","1361"
"73","Salary Expense","Cash Payment - Salary Expense","1872"
"73","Salary Expense","Cash Payment - Salary Expense","21794"
"73","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"73","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"73","Rental Expense","Cash Payment - Rental - Manila","1860"
"73","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"73","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"73","Depreciation Expense","Non-Cash Expense - Depreciation","18334"
"72","Human Resource Expense","Counselled","2000"
"72","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"72","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","30000"
"72","Marketing Expense","Cash Payment - Marketing - Manila","30000"
"72","Marketing Expense","Cash Payment - Marketing - Bangkok","30000"
"72","Marketing Expense","Cash Payment - Marketing - Jakarta","30000"
"72","Salary Expense","Cash Payment - Salary Expense","1473"
"72","Salary Expense","Cash Payment - Salary Expense","1736"
"72","Salary Expense","Cash Payment - Salary Expense","1919"
"72","Salary Expense","Cash Payment - Salary Expense","1829"
"72","Salary Expense","Cash Payment - Salary Expense","1872"
"72","Salary Expense","Cash Payment - Salary Expense","21794"
"72","Shipping Expense","Cash Payment - Shipping Expense - B2B SO : 11252","130000"
"72","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"72","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"72","Rental Expense","Cash Payment - Rental - Manila","1860"
"72","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"72","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"72","Depreciation Expense","Non-Cash Expense - Depreciation","25001"
"71","Human Resource Expense","Counselled","2000"
"71","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"71","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","30000"
"71","Marketing Expense","Cash Payment - Marketing - Manila","30000"
"71","Marketing Expense","Cash Payment - Marketing - Bangkok","30000"
"71","Marketing Expense","Cash Payment - Marketing - Jakarta","30000"
"71","Salary Expense","Cash Payment - Salary Expense","1404"
"71","Salary Expense","Cash Payment - Salary Expense","1690"
"71","Salary Expense","Cash Payment - Salary Expense","1850"
"71","Salary Expense","Cash Payment - Salary Expense","1829"
"71","Salary Expense","Cash Payment - Salary Expense","1784"
"71","Salary Expense","Cash Payment - Salary Expense","21794"
"71","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","1426"
"71","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"71","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Butterworth","330"
"71","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"71","Rental Expense","Cash Payment - Rental - Manila","1860"
"71","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"71","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"71","Depreciation Expense","Non-Cash Expense - Depreciation","25001"
"70","Human Resource Expense","Staff Dismiss","67000"
"70","Human Resource Expense","Counselled","2000"
"70","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"70","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","30000"
"70","Marketing Expense","Cash Payment - Marketing - Manila","30000"
"70","Marketing Expense","Cash Payment - Marketing - Bangkok","30000"
"70","Marketing Expense","Cash Payment - Marketing - Jakarta","30000"
"70","Salary Expense","Cash Payment - Salary Expense","1404"
"70","Salary Expense","Cash Payment - Salary Expense","1690"
"70","Salary Expense","Cash Payment - Salary Expense","1850"
"70","Salary Expense","Cash Payment - Salary Expense","1829"
"70","Salary Expense","Cash Payment - Salary Expense","1784"
"70","Salary Expense","Cash Payment - Salary Expense","21058"
"70","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Ho Chi Minh City","2139"
"70","Rental Expense","Cash Payment - Rental - Ho Chi Minh City","1560"
"70","Rental Expense","Cash Payment - Rental - Butterworth","2000"
"70","Rental Expense","Cash Payment - Rental - Manila","1860"
"70","Rental Expense","Cash Payment - Rental - Bangkok","1320"
"70","Rental Expense","Cash Payment - Rental - Jakarta","1800"
"70","Depreciation Expense","Non-Cash Expense - Depreciation","25001"
"69","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"69","Marketing Expense","Cash Payment - Marketing - Ho Chi Minh City","30000"
"69","Marketing Expense","Cash Payment - Marketing - Manila","30000"
"69","Marketing Expense","Cash Payment - Marketing - Bangkok","30000"
"69","Marketing Expense","Cash Payment - Marketing - Jakarta","30000"
